Chr	Pos	Gene	Adipose	Blood	Muscle
X	41333348	DDX3X	0.483870968	0.486486486	0.5
X	41447343	NYX	0	0	0
X	41514934	CASK	0.055555556	0	0.048780488
X	41688973	GPR34	0.076923077	0.033333333	0.071428571
X	41724181	GPR82	0	0.142857143	0
X	43654907	MAOA	0.088235294	0	0.024390244
X	43766610	MAOB	0.114285714	0	0.12195122
X	43948776	NDP	0	0	0
X	44147872	EFHC2	0	0.073170732	0
X	44523639	FUNDC1	0.035714286	0.216216216	0
X	44844021	DUSP21	NA	0	NA
X	44873188	KDM6A	0.342857143	0.55	0.341463415
X	45148373	DIPK2B	0.272727273	0	0.275
X	46447292	KRBOX4	0	0	0
X	46497725	ZNF674	0.03030303	0.027777778	0.028571429
X	46573765	CHST7	0.033333333	0.028571429	0.028571429
X	46599251	SLC9A7	0	0.075	0.024390244
X	46837043	RP2	0	0.026315789	0
X	46912276	JADE3	0	0.025641026	0
X	47078355	RGN	0.03125	0	0.026315789
X	47142071	NDUFB11	0.041666667	0.074074074	0.035714286
X	47145221	RBM10	0.03125	0.027027027	0.057142857
X	47190861	UBA1	0.147058824	0.435897436	0.297297297
X	47217860	CDK16	0.090909091	0.228571429	0.147058824
X	47232866	USP11	0.066666667	0.111111111	0
X	47370578	ZNF157	0	0.027027027	0
X	47445178	ZNF41	0.03030303	0.102564103	0.025
X	47561205	ARAF	0	0.078947368	0
X	47571901	SYN1	0.129032258	0.054054054	0.121212121
X	47582408	TIMP1	0.148148148	0.064516129	0.137931034
X	47623172	CFP	0.032258065	0.162162162	0.034482759
X	47635520	ELK1	0	0.029411765	0.029411765
X	47651796	UXT	0	0.029411765	0.034482759
X	47836902	ZNF81	0.111111111	0.073170732	0.023809524
X	47974851	ZNF182	0.027777778	0.048780488	0
X	47983356	ZNF630	0	0.048780488	0.073170732
X	48186220	SSX5	NA	0	NA
X	48255392	SSX1	0	0	NA
X	48346427	SSX3	0	0	0
X	48458537	SLC38A5	0	0	0
X	48476021	FTSJ1	0	0.03030303	0
X	48508959	PORCN	0	0	0
X	48521799	EBP	0	0.043478261	0.083333333
X	48539714	TBC1D25	0	0	0
X	48574449	RBM3	0	0.2	0.136363636
X	48590042	WDR13	0.068965517	0.03125	0.0625
X	48676596	WAS	0	0.032258065	0
X	48695554	SUV39H1	0	0.121212121	0
X	48761747	GLOD5	0	0.083333333	0
X	48786540	GATA1	0	0	NA
X	48801377	HDAC6	0	0	0
X	48826513	ERAS	0	0	0
X	48831096	PCSK1N	NA	0	0
X	48890197	PQBP1	0	0.071428571	0
X	48893447	TIMM17B	0	0	0
X	48903180	SLC35A2	0	0	0
X	48913182	PIM2	0	0.038461538	0.076923077
X	48922024	OTUD5	0	0.029411765	0
X	48960982	KCND1	0	0	0
X	48973720	GRIPAP1	0.038461538	0.03030303	0
X	49028726	TFE3	0.035714286	0.0625	0
X	49053572	CCDC120	0	0.034482759	0
X	49071161	PRAF2	0.105263158	0.035714286	0.045454545
X	49074433	WDR45	0.068965517	0.057142857	0
X	49113407	GPKOW	0.107142857	0	0.033333333
X	49162564	MAGIX	0	0.035714286	0
X	49171898	PLP2	0	0.111111111	0
X	49174802	PRICKLE3	0	0	0
X	49187815	SYP	0	0.071428571	0
X	49205063	CACNA1F	0	0.034482759	0
X	49235470	CCDC22	0	0.096774194	0.034482759
X	49250438	FOXP3	0	0	0
X	49269793	PPP1R3F	0	0.171428571	0.028571429
X	49303646	GAGE10	0	0.04	0
X	49687447	PAGE1	NA	0	NA
X	49793653	PAGE4	0	0	0.034482759
X	49879484	USP27X	0	0.125	0.111111111
X	49922596	CLCN5	0.083333333	0.024390244	0.023809524
X	50190777	AKAP4	0	0	0
X	50202713	CCNB3	0.038461538	0	0
X	50365409	DGKK	0	0	0
X	50586796	SHROOM4	0.083333333	0	0.095238095
X	50910735	BMP15	0	0	0
X	51332231	NUDT10	0	0	0
X	51406948	EZHIP	NA	0	NA
X	51490011	NUDT11	0	0	0
X	51743442	GSPT2	0	0	0
X	51803007	MAGED1	0.029411765	0.102564103	0.051282051
X	52369021	XAGE2	NA	0	NA
X	52644061	SSX7	NA	0	NA
X	52862525	XAGE3	0	0	0
X	52926402	FAM156A	0	0.057142857	0
X	53048789	GPR173	0	0.033333333	0
X	53082367	TSPYL2	0.038461538	0.161290323	0
X	53094142	KANTR	0.114285714	0.225	0.12195122
X	53176277	KDM5C	0.088235294	0.475	0.230769231
X	53225828	IQSEC2	0	0.025	0
X	53374149	SMC1A	0.03125	0.333333333	0.108108108
X	53422690	RIBC1	0.090909091	0	0.0625
X	53431258	HSD17B10	0	0	0
X	53532096	HUWE1	0.027777778	0.024390244	0.047619048
X	53936676	PHF8	0.058823529	0.052631579	0.025641026
X	54068324	FAM120C	0.028571429	0.051282051	0.075
X	54192823	WNK3	0	0.033333333	0
X	54440404	TSR2	0.068965517	0.133333333	0
X	54445454	FGD1	0.029411765	0.060606061	0.028571429
X	54530183	GNL3L	0.055555556	0.1	0.024390244
X	54748918	ITIH6	0.08	0	0.026315789
X	54807599	MAGED2	0.060606061	0.162162162	0.081081081
X	54920462	TRO	0.071428571	0	0
X	54932961	PFKFB1	0.058823529	0	0
X	55000363	APEX2	0.037037037	0.060606061	0.058823529
X	55009055	ALAS2	0.142857143	0.147058824	0
X	55075030	PAGE2B	0	0	0
X	55089018	PAGE2	0	0	0
X	55143102	VCF2	0	0.028571429	0
X	55220346	PAGE5	0	0	0
X	55258415	PAGE3	NA	0	0
X	55452127	MAGEH1	0	0.4	0
X	55484616	USP51	0	0	0
X	55717749	RRAGB	0.028571429	0.025	0.05
X	56232356	KLF8	0.029411765	0.076923077	0.026315789
X	56729241	NBDY	0.03030303	0.075	0
X	56818298	SPIN3	0	0.076923077	0.025641026
X	57118551	SPIN2B	0	0	0
X	57134530	SPIN2A	0	0	0
X	57286706	FAAH2	0.058823529	0.1	0
X	57592011	ZXDB	0	0	0
X	57677067	NLRP2B	0	0	0
X	57905430	ZXDA	0.047619048	0	0
X	63347228	SPIN4	0	0	0
X	63634967	ARHGEF9	0	0.051282051	0
X	64185117	AMER1	0	0.060606061	0.033333333
X	64224194	ASB12	0	0	0.032258065
X	64268081	MTMR8	0	0.025	0.024390244
X	64915802	ZC4H2	0.029411765	0.076923077	0
X	65034788	ZC3H12B	0.028571429	0.125	0
X	65438549	LAS1L	0.060606061	0.027027027	0
X	65588377	MSN	0.085714286	0.05	0.1
X	66021738	VSIG4	0.068965517	0.314285714	0.076923077
X	66162671	HEPH	0.03030303	0.057142857	0
X	66595637	EDA2R	0	0	0.028571429
X	67544021	AR	0.083333333	0	0.047619048
X	67949349	OPHN1	0.057142857	0.025	0.048780488
X	68498562	YIPF6	0.03030303	0.078947368	0.051282051
X	68647666	STARD8	0.028571429	0.024390244	0.095238095
X	68829021	EFNB1	0.032258065	0	0.028571429
X	69160851	PJA1	0.142857143	0	0
X	69504326	NALF2	0	0	0
X	69616067	EDA	0	0.025	0
X	70040542	AWAT2	0	0.111111111	0
X	70062457	OTUD6A	NA	0	NA
X	70133447	IGBP1	0.03030303	0.054054054	0
X	70177483	DGAT2L6	0	0.066666667	0
X	70234655	AWAT1	0	0	0
X	70258166	P2RY4	0.058823529	0	0
X	70268305	ARR3	0	0.038461538	0
X	70281118	PDZD11	0	0.066666667	0.03125
X	70282093	RAB41	0	0.035714286	0.033333333
X	70290104	KIF4A	0	0	0
X	70423031	GDPD2	0	0	0.037037037
X	70444835	DLG3	0	0.054054054	0
X	70528940	TEX11	0	0	0
X	70925579	SLC7A3	0	0	0
X	71056332	SNX12	0.1	0.028571429	0.027777778
X	71095851	FOXO4	0	0	0
X	71103889	CXorf65	0	0.068965517	0
X	71107404	IL2RG	0	0.25	0
X	71118543	MED12	0	0.027777778	0.028571429
X	71144821	NLGN3	0	0.078947368	0
X	71212811	GJB1	0	0	0
X	71239624	ZMYM3	0	0.03125	0
X	71254814	NONO	0.035714286	0.0625	0.090909091
X	71301750	ITGB1BP2	0	0	0
X	71366136	TAF1	0.085714286	0.025641026	0
X	71533087	OGT	0.060606061	0.135135135	0.052631579
X	71578437	GCNA	0	0.027777778	0.054054054
X	71615916	CXCR3	0	0	0
X	71910845	NHSL2	0.111111111	0.024390244	0.095238095
X	72127110	RTL5	0	0	0
X	72181353	PIN4	0.225806452	0.324324324	0.216216216
X	72204657	ERCC6L	0.035714286	0.228571429	0
X	72255679	RPS4X	0.2	0.470588235	0.171428571
X	72301638	CITED1	0	0	0
X	72329516	HDAC8	0.028571429	0.075	0.073170732
X	72578814	PHKA1	0	0	0
X	73212299	NAP1L2	0.1	0.153846154	0
X	73447053	CDX4	NA	NA	0
X	73563197	CHIC1	0	0.051282051	0.025
X	74304180	ZCCHC13	NA	0	NA
X	74421493	SLC16A2	0.029411765	0	0.025
X	74582976	RLIM	0.103448276	0	0.028571429
X	74732856	NEXMIF	0	0.051282051	0
X	75051048	ABCB7	0.060606061	0.081081081	0.025641026
X	75156388	UPRT	0	0.085714286	0.060606061
X	75368427	ZDHHC15	0.029411765	0	0.025641026
X	75782987	MAGEE2	0	NA	0
X	76173040	PBDC1	0	0.045454545	0
X	76427710	MAGEE1	0	0	0
X	77447389	FGF16	0	0	0
X	77504880	ATRX	0.111111111	0.073170732	0
X	77825747	MAGT1	0.034482759	0.083333333	0
X	77899440	COX7B	0.055555556	0	0.105263158
X	77910690	ATP7A	0.0625	0	0.027027027
X	77910739	PGK1	0.03125	0	0
X	77967949	PGAM4	NA	0	NA
X	78129748	TAF9B	0.04	0	0
X	78271468	CYSLTR1	0.066666667	0.051282051	0
X	78656068	RTL3	0	0	0
X	78747709	LPAR4	0	0	0
X	78945332	P2RY10	0	0.078947368	0
X	79144688	GPR174	0.03030303	0.179487179	0
X	79360384	ITM2A	0.129032258	0.083333333	0.166666667
X	80014753	TBX22	0	0	0
X	80335504	TENT5D	0	0	0
X	80669503	BRWD3	0.027777778	0.024390244	0
X	81113699	HMGN5	0.03125	0.025641026	0
X	81202102	SH3BGRL	0.111111111	0.125	0.119047619
X	83861126	CYLC1	NA	0	0
X	84058346	RPS6KA6	0	0.03125	0.025
X	84317874	HDX	0.027777778	0.024390244	0
X	85003877	APOOL	0.083333333	0.025	0.024390244
X	85092284	SATL1	0	0.03125	0
X	85243991	ZNF711	0.038461538	0	0.033333333
X	85277396	POF1B	0	0.025	0
X	85861180	CHM	0.138888889	0.175	0.073170732
X	86148451	DACH2	0	0	0
X	87517409	KLHL4	0.027777778	0.075	0.048780488
X	88747225	CPXCR1	0	0	0
X	91434595	PABPC5	0	0	0.038461538
X	91779261	PCDH11X	0.03030303	0	0
X	93670930	NAP1L3	0.038461538	0	0.037037037
X	93674013	FAM133A	0	0	0
X	96684712	DIAPH2	0.138888889	0.073170732	0.023809524
X	96883908	RPA4	0.0625	0.1	0
X	100291644	PCDH19	0.03030303	0	0
X	100584936	TNMD	0.15625	0	0
X	100627108	TSPAN6	0.090909091	0.043478261	0
X	100644195	SRPX2	0.235294118	0	0.1
X	100671783	SYTL4	0.114285714	0	0.05
X	100820391	CSTF2	0	0.027027027	0
X	100843324	NOX1	0	0	0
X	100913445	XKRX	0	0.03030303	0
X	100969708	ARL13A	0	0.055555556	0
X	101009346	TRMT2B	0.028571429	0.125	0.073170732
X	101078879	TMEM35A	0	0	0
X	101098188	CENPI	0.028571429	0	0.027027027
X	101219769	DRP2	0	0	0
X	101268253	TAF7L	0	0	0
X	101345661	TIMM8A	0	0	0
X	101349338	BTK	0.060606061	0.051282051	0.025641026
X	101390824	RPL36A	0	0.032258065	0
X	101391011	RPL36A-HNRNPH2	0.028571429	0.05	0.025641026
X	101393273	GLA	0.03030303	0.025641026	0.025641026
X	101408222	HNRNPH2	0.052631579	0.037037037	0.04
X	101418287	ARMCX4	0.055555556	0.073170732	0.047619048
X	101550547	ARMCX1	0.0625	0.055555556	0.095238095
X	101615118	ARMCX6	0	0	0
X	101622797	ARMCX3	0	0.055555556	0
X	101655281	ARMCX2	0.068965517	0.033333333	0.032258065
X	101882288	ZMAT1	0.088235294	0.051282051	0.051282051
X	102125679	TCEAL2	0	0.052631579	0
X	102140476	TCEAL6	0	0	NA
X	102153708	BEX5	0	0	0
X	102513682	TMSB15A	0	NA	NA
X	102599168	ARMCX5	0	0.125	0
X	102651092	GPRASP1	0.111111111	0.088235294	0.09375
X	102712445	GPRASP2	0.052631579	0	0
X	102712495	ARMCX5-GPRASP2	0.058823529	0.052631579	0.024390244
X	102720688	GPRASP3	0.058823529	0.052631579	0.024390244
X	102937272	RAB40AL	0	0	0
X	103062651	BEX1	0	0	0
X	103075810	NXF3	0	0	0
X	103215108	BEX4	0.111111111	0.043478261	0.166666667
X	103252995	TCEAL8	0	0	0
X	103309346	BEX2	0	0	0
X	103330229	TCEAL7	0	NA	0
X	103356489	TCEAL9	0	0	0.071428571
X	103376395	BEX3	NA	NA	0
X	103499130	RAB40A	0	0	0
X	103576231	TCEAL4	0.0625	0	0.088235294
X	103607451	TCEAL3	0	0.025641026	0
X	103628704	TCEAL1	0	0.055555556	0
X	103675496	MORF4L2	0	0.05	0
X	103710909	TMEM31	0	0	0
X	103773718	PLP1	0	0	0
X	103822327	RAB9B	0.03030303	0.058823529	0
X	103918896	TMSB15B	0	0	0.076923077
X	104011147	H2BW1	0	NA	NA
X	104039956	H2BW2	NA	0	NA
X	104099214	SLC25A53	0.088235294	0.05	0.027027027
X	104112131	ZCCHC18	0.055555556	0.03030303	0
X	104166453	FAM199X	0.09375	0	0.054054054
X	104250038	ESX1	NA	0	NA
X	104566199	IL1RAPL2	0	0	0
X	105218929	TEX13A	NA	0	NA
X	105822539	NRK	0	0	0.057142857
X	106032435	SERPINA7	0	0	0
X	106168305	PWWP3B	0.032258065	0	0.025641026
X	106611930	RADX	0	0.055555556	0
X	106693794	RNF128	0	0	0.026315789
X	106802673	TBC1D8B	0.057142857	0.054054054	0
X	106813871	MORC4	0.142857143	0.051282051	0.025
X	106900063	RIPPLY1	0	0	0
X	106900164	CLDN2	0	0	0.026315789
X	107052095	RBM41	0.027777778	0.024390244	0.023809524
X	107123427	NUP62CL	0	0.026315789	0
X	107206611	DNAAF6	0	0	NA
X	107449652	FRMPD3	0	0.048780488	0
X	107628428	PRPS1	0	0.111111111	0
X	107713221	TSC22D3	0.088235294	0.052631579	0.073170732
X	107774899	NCBP2L	0	0	0
X	107825755	MID2	0.114285714	0.025641026	0.024390244
X	107980864	TEX13B	NA	0	0
X	108044970	VSIG1	0	0.05	0
X	108084207	PSMD10	0	0.027777778	0
X	108091668	ATG4A	0	0.027027027	0
X	108155607	COL4A6	0	0	0
X	108439838	COL4A5	0.027777778	0	0.025
X	108719946	IRS4	0	0	0
X	109372906	GUCY2F	0	0	0
X	109535781	NXT2	0	0.03030303	0
X	109623700	KCNE5	0	0	0
X	109624244	ACSL4	0.027777778	0	0.048780488
X	110002631	TMEM164	0.111111111	0.024390244	0.023809524
X	110194186	AMMECR1	0.027777778	0.051282051	0
X	110346103	GNG5B	0	0	0
X	110358848	RTL9	0.029411765	0	0
X	110520896	CRIPTO3	0	NA	0
X	110673856	CHRDL1	0.371428571	0	0.25
X	110944285	PAK3	0.028571429	0.052631579	0.025
X	111245099	CAPN6	0.074074074	0	0.103448276
X	111293779	DCX	0.04	0	0
X	111511645	SERTM2	0	NA	0
X	111665811	ALG13	0.166666667	0.341463415	0.023809524
X	111768011	TRPC5	0.03030303	0.105263158	0.025641026
X	111876051	TRPC5OS	0	0	0
X	112083016	RTL4	0	0.035714286	0
X	112630648	LHFPL1	0	0	0
X	112774503	AMOT	0.055555556	0.025	0.047619048
X	114584078	HTR2C	0	0	0
X	115003975	IL13RA2	0	0	0
X	115110616	LRCH2	0	0	0.05
X	115189410	RBMXL3	0	0	0
X	115289715	LUZP4	0	0	0
X	115561174	PLS3	0.171428571	0.032258065	0.243902439
X	116170744	AGTR2	NA	0	0
X	116436606	SLC6A14	0	0	0
X	117897813	KLHL13	0	0	0.075
X	118346073	WDR44	0.027777778	0.097560976	0.023809524
X	118495815	DOCK11	0.083333333	0.146341463	0.023809524
X	118632375	RBBP8P1	0.071428571	0	0
X	118727133	IL13RA1	0.057142857	0.025	0
X	118823824	ZCCHC12	0	0	0
X	118974614	LONRF3	0.058823529	0.051282051	0.075
X	119072993	CT47C1	NA	0.25	0
X	119078635	KIAA1210	0	0	0
X	119236245	PGRMC1	0.090909091	0	0.105263158
X	119399336	SLC25A43	0	0.048780488	0.05
X	119468422	SLC25A5	0	0	0
X	119474802	UBE2A	0.114285714	0.075	0.024390244
X	119538149	STEEP1	0.066666667	0.058823529	0
X	119588337	NKRF	0	0.117647059	0
X	119615724	SEPTIN6	0.083333333	0.43902439	0.024390244
X	119758588	SOWAHD	0	0.1	0
X	119786504	RPL39	0	0	0.03125
X	119834022	UPF3B	0.058823529	0.075	0
X	119870475	RNF113A	0	0	0
X	119871832	NDUFA1	0.105263158	0	0.047619048
X	119895837	AKAP14	0	0.037037037	0
X	119920672	NKAP	0.028571429	0	0
X	119942834	RHOXF1P3	0.03125	0	0.027777778
X	120109051	RHOXF1	0.142857143	0.025	0.024390244
X	120250752	ZBTB33	0.068965517	0.028571429	0.028571429
X	120258650	TMEM255A	0	0	0
X	120362085	ATP1B4	0.1	0	0.078947368
X	120426148	LAMP2	0.027777778	0.048780488	0.071428571
X	120505920	CUL4B	0.083333333	0.024390244	0.047619048
X	120594010	MCTS1	0.028571429	0.025	0.048780488
X	120625674	C1GALT1C1	0	0	0
X	120872607	CT47B1	NA	NA	0
X	121047610	GLUD2	0.083333333	0	0
X	123184153	GRIA3	0	0.026315789	0.024390244
X	123600561	THOC2	0	0	0.025
X	123859712	XIAP	0.03030303	0.051282051	0.026315789
X	123960212	STAG2	0.111111111	0.024390244	0.047619048
X	124227868	SH2D1A	0	0.170731707	0
X	124246249	TEX13D	0	0	0
X	124375903	TENM1	0.027777778	0.073170732	0.047619048
X	125319871	TEX13C	0	0	0
X	126163499	DCAF12L2	0	0	0
X	126819729	PRR32	0	0	0
X	128050962	ACTRT1	0	NA	NA
X	129446501	SMARCA1	0.027777778	0	0.047619048
X	129539849	OCRL	0.029411765	0	0.051282051
X	129645259	APLN	0	0	0.111111111
X	129738949	XPNPEP2	0	0.054054054	0
X	129779949	SASH3	0.060606061	0.157894737	0
X	129803288	ZDHHC9	0.029411765	0.052631579	0
X	129906121	UTP14A	0.032258065	0	0
X	129981107	BCORL1	0	0	0
X	130063955	ELF4	0.027777778	0	0
X	130124666	AIFM1	0	0.028571429	0.121212121
X	130171962	RAB33A	0	0	0
X	130202707	ZNF280C	0.027777778	0	0
X	130339888	SLC25A14	0	0	0
X	130379449	GPR119	0	0	0
X	130401987	RBMX2	0.035714286	0.03125	0
X	130622325	ENOX2	0.083333333	0	0.023809524
X	131058346	ARHGAP36	0	0	0
X	131273506	IGSF1	0.029411765	0	0.027777778
X	132023302	STK26	0	0.025	0
X	132076990	FRMD7	0	0	0.047619048
X	132203024	RAP2C	0.033333333	0.027027027	0.027777778
X	132369320	MBNL3	0.142857143	0.125	0.024390244
X	132626015	HS6ST2	0.032258065	0	0.025
X	133023168	USP26	0	0	0
X	133216662	TFDP3	0	NA	NA
X	133300103	GPC4	0.029411765	0	0
X	133535745	GPC3	0.083333333	0	0.073170732
X	134237047	CCDC160	0	0	0
X	134373288	PHF6	0	0.052631579	0.027027027
X	134460165	HPRT1	0	0	0
X	134565838	PLAC1	0	0	0
X	134769566	PABIR2	0	0	0
X	134796395	PABIR3	0.033333333	0	0
X	134887632	MOSPD1	0	0.052631579	0.054054054
X	134990991	SMIM10	0	0	0
X	135020513	RTL8B	0	0	0
X	135032355	RTL8C	0	NA	0
X	135050932	RTL8A	0	0	0
X	135059685	SMIM10L2B-AS1	0.041666667	0	0.038461538
X	135094985	SMIM10L2B	0	NA	0
X	135156540	CT55	0	0	0
X	135248590	ZNF75D	0.085714286	0.125	0.048780488
X	135344796	ZNF449	0	0.032258065	0
X	135421944	SMIM10L2A	0	0	0.037037037
X	135520659	INTS6L	0.028571429	0.076923077	0.024390244
X	135713639	CT45A1	NA	0	NA
X	135881063	CT45A10	0	NA	NA
